model_name,scs,l3_weight_cuts,l3_output_cuts,lcus,weights,ops_per_image,macs_per_image,total_4bit_macs_per_frame,pure_ops_per_image,pure_macs_per_image,power,fps,subclusters_per_target,l3_cuts_per_target,layers_per_target,l2_cuts_per_target_normalized,l2_cuts_used_normalized,profiling_mode,layers,l3_total_cuts,net_input_throughput,gross_input_throughput,net_output_throughput,gross_output_throughput,latency,input_aligners,input_aligners_per_target,apus,apus_per_target,l4_cuts,l4_cuts_per_target,l2_weights,l2_data_usage,l2_cuts_per_target,number_of_devices,number_of_contexts,calibration,transpose,resize_input,normalization,input_conversion,nms,optimization_level,compression_level,compression_rate,hw_arch,stream_fps,optimization_goal_fps,context_switch_configs,l2_cut_size,l3_cut_size,l4_cut_size
densenet121,747,638,847,378,7905448.0,5699658240.0,2856728320.0,0.0,5699658240.0,2856728320.0,,N/A,512,1024,128,256.0,373.5,post_placement,368,1485,12.44 Megabytes/sec,60.65 Megabytes/sec,84.63 Kilobytes/sec,48.29 Megabytes/sec,N/A,422,256,377,160,3,28,0,366848,512,3,5,64,False,False,False,False,False,1,0,N/A,hailo8,,,8663040.00,16384.0,32768.0,131072.0

context_name,csw_scs_mac_util,b8_csw_scs_mac_util, ,lcu_util,l3_util,mapping_util,active_mac_util,width_align_util,feature_align_util,balance_fps_util,mac_layers_util,effective_mac_util,scs_mac_util, ,fps,1/fps (s),drain (s),latency_util,b8_latency_util, ,context_overhead,overhead_util,b8_overhead_util,total_mac_util,b8_total_mac_util,boundary_in_bytes,boundary_out_bytes,inter_context_in_bytes,inter_context_out_bytes,ddr_portals_in_bytes,ddr_portals_out_bytes
contexts_total,0.03712976518914925,0.08471038116198631,,,,0.27256485592883045,0.7803828450737561,0.8941237906147353,0.9797674361003328,0.7710785928488593,0.810935429998853,0.49374581571888276,0.10369316743529296,,86.66087050793477,0.011539233268011527,N/A,0.35807340162811707,0.816933104245732,,0.004802009999999999,0.5612105246205203,0.8176786596865556,0.020837615000839183,0.06926587093007022,150528.0,1000.0,583296.0,583296.0,0.0,0.0
densenet121_context_0,0.07356077052723974,0.12581116491996988,,0.5390625,0.255859375,0.30078125,0.7425194035152369,0.9179313037941492,0.9747978178688536,0.8736506508957962,0.8311688311688312,0.5600766302514643,0.14001915756286606,,1224.919767755212,0.00081638,0.0007375575,0.5253621847725536,0.8985282236359904,,0.00083695,,,,,150528.0,0.0,0.0,275968.0,0.0,0.0
densenet121_context_1,0.03683617852812032,0.07942544218228886,,0.6015625,0.2607421875,0.2578125,0.8201436831169702,0.8749999999999994,0.9856583393843972,0.7098333906669216,0.803030303030303,0.4595417442680699,0.09513950174299884,,1668.3558769921212,0.0005993925,0.0009487025,0.3871806962750994,0.8348313868285908,,0.00102087,,,,,0.0,0.0,275968.0,94080.0,0.0,0.0
densenet121_context_2,0.03150982341171307,0.10647170095925915,,0.6015625,0.306640625,0.361328125,0.7533791316000249,0.8749999999999996,0.9721359561985976,0.8348722202949909,0.8594594594594595,0.5193607475434255,0.16128585714727472,,7090.564231648734,0.00014103249999999998,0.000580855,0.1953663140032207,0.6601428224548963,,0.00127543,,,,,0.0,0.0,94080.0,175616.0,0.0,0.0
densenet121_context_3,0.01469341279337581,0.03639830135733067,,0.6015625,0.26953125,0.177734375,0.9044850372537339,0.875,1.0,0.5666455251685085,0.7142857142857143,0.3633919168461576,0.046133739443359856,,1680.5239873792648,0.0005950525000000001,0.0012732675,0.31849602851759873,0.7889735754461927,,0.001029155,,,,,0.0,0.0,175616.0,37632.0,0.0,0.0
densenet121_context_4,0.014479359615121404,0.0666779409875885,,0.6015625,0.357421875,0.361328125,0.7941746798980236,0.8162171010460163,0.9598697785016187,0.7334050544456238,0.8378378378378378,0.45413297052190393,0.137481660997842,,21122.669905476054,4.7342499999999996e-05,0.000402175,0.10531848037061961,0.48499516592714953,,0.000639605,,,,,0.0,1000.0,37632.0,0.0,0.0,0.0

layer_name,layer_type,input_height,input_width,output_channels,input_channels,kernel_height,kernel_width,strides_row,strides_col,predecessors,successors,weights,macs,power,fps,total cycles,theoretical cycles,scs,apus,input_aligners,of_per_sc,of_per_mac,l3_output_cuts,l2_weights_usage_ratio,groups,dilation_height,dilation_width,16x4_configuration,elementwise_feed_repeat,ew_add_enabled,defuse_mode,node_layer_input_bw,node_layer_output_bw,defuse_name,l3_weight_cuts,l4_cuts,lcus,node_layer_latency,deprecated,output_features_per_sc,mac_computation_utilization,apu_activation_utilization,subcluster_utilization,buffers_num,buffer_size,context,did_reach_fps,latency,l2_weights,ops,l2_data_usage,input_activation_bits,input_range_min,input_range_max,kernel_range_min,kernel_range_max,output_range_min,output_range_max,output_activation_bits,weights_bits,bias_bits,active_mac_util,width_align_util,feature_align_util,balance_fps_util,mac_layers_util,effective_mac_util,is_4bit_enhanced,is_smuffer_in,is_smuffer_out
normalization4,normalization,56,56,96,96,1,1,,,batch_norm4,conv4,0,301056.0,,3835.27,104295,,1,1,1,96,1,1,0.0,,1,1,False,,False,,368.7694396972656,368.7694396972656,densenet121/normalization4,1,0,1,0.795525,0,96,0.4574716091156006,0.3608226776123047,0.14610843440772547,6,5376,densenet121_context_0,False,0.000895505,0,602112.0,0,8,-487.7310791015625,1620.2591552734375,-0.326045960187912,0.2831425964832306,0.0,226.720703125,8,8,16,0.4574716091156006,1.0,1.0,0.3193825179450746,1.0,0.14610843440772547,False,False,False
conv4,conv,56,56,128,96,1,1,1,1,normalization4,normalization5,12416.0,38936576.0,,1381.50,289541,200704.0,3,1,1,48,6,1,0.0,1,1,1,False,,False,,368.7694396972656,553.1541748046875,densenet121/conv4,3,0,1,0.8120824999999999,0,43,0.7879505753517151,0.19495683908462524,0.6986452311972087,1,1152,densenet121_context_0,False,0.000916715,0,77070336.0,0,8,0.0,226.720703125,-4.490972518920898,4.659806728363037,-1608.9034423828125,735.4987182617188,8,8,16,0.7879505753517151,1.0,0.8888888888888888,0.8866612361890295,1.0,0.6210179832864077,False,False,True
normalization5,normalization,56,56,128,128,1,1,,,conv4,conv5,0,401408.0,,3005.73,133079,,1,1,1,128,1,2,0.0,,1,1,False,,False,,491.6925964355469,491.6925964355469,densenet121/normalization5,1,0,1,0.81108,0,128,0.4241690933704376,0.37703919410705566,0.1728606738793346,2,7168,densenet121_context_0,False,0.0009175825,0,802816.0,0,8,-1608.9034423828125,735.4987182617188,5.377237175707705e-05,0.37602847814559937,0.0,82.20858001708984,8,8,16,0.4241690933704376,1.0,1.0,0.40752774443273965,1.0,0.1728606738793346,False,True,False
conv5,conv,56,56,32,128,3,3,1,1,normalization5,concat2,36896.0,115705856.0,,1224.92,326552,225792.0,8,1,2,4,1,2,0.0,1,1,1,True,,False,,491.6925964355469,122.92314910888672,densenet121/conv5,4,0,1,0.816235,0,4,0.7909674644470215,0.043901123106479645,0.7909674644470215,2,1792,densenet121_context_0,False,0.000934675,0,231211008.0,12288,8,0.0,82.20858001708984,-0.4424811601638794,0.40740224719047546,-80.18588256835938,80.81726837158203,8,8,16,0.7909674644470215,0.875,1.0,1.0,1.0,0.6920965313911438,False,False,False
concat2,concat,56|56,56|56,128,96|32,,,,,concat1 conv5,batch_norm6 concat3,0,0,,3943.41,101435,,1,1,1,128,0,3,1,,,,False,,False,,368.7694396972656,0.0,densenet121/concat2,0,0,1,0.7952674999999999,0,128,0.4946615993976593,0.4946615993976593,0.15365393363048324,13,7168,densenet121_context_0,False,0.000942825,0,0,0,8,-240.366943359375,242.2595977783203,N/A,N/A,-240.366943359375,242.2595977783203,8,8,8,0.4946615993976593,1.0,1.0,0.3106243416056248,0.0,0.15365393363048324,False,False,False
batch_norm6,batch_norm,56,56,128,128,,,,,concat2,normalization6,0,0,,2882.03,138791,,1,1,1,128,1,1,0.0,,1,1,False,,False,,491.6925964355469,491.6925964355469,densenet121/batch_norm6,1,0,1,0.798605,0,128,0.4583582580089569,0.36152198910713196,0.19481124288726187,4,7168,densenet121_context_0,False,0.000950685,0,0,0,8,-240.366943359375,242.2595977783203,0.0,64.71532440185547,-796.4798583984375,954.402587890625,8,8,16,0.4583582580089569,1.0,1.0,0.4250195987162841,0.0,0.19481124288726187,False,False,False
normalization6,normalization,56,56,128,128,1,1,,,batch_norm6,conv6,0,401408.0,,2882.03,138791,,1,1,1,128,1,1,0.0,,1,1,False,,False,,491.6925964355469,491.6925964355469,densenet121/normalization6,1,0,1,0.798605,0,128,0.4583582580089569,0.36152198910713196,0.19481124288726187,4,7168,densenet121_context_0,False,0.0009568775,0,802816.0,0,8,-796.4798583984375,954.402587890625,1.267353028078233e-10,0.3087882399559021,0.0,114.21913146972656,8,8,16,0.4583582580089569,1.0,1.0,0.4250195987162841,1.0,0.19481124288726187,False,False,False
conv6,conv,56,56,128,128,1,1,1,1,normalization6,normalization7,16512.0,51781632.0,,1246.27,320957,200704.0,4,1,2,32,8,4,0.0,1,1,1,True,,False,,491.6925964355469,491.6925964355469,densenet121/conv6,2,0,1,0.8148875,0,32,0.7202460169792175,0.17866568267345428,0.7079056348501883,4,1024,densenet121_context_0,False,0.0009793525,0,102760448.0,0,8,0.0,114.21913146972656,-4.398726463317871,3.6278440952301025,-769.4215698242188,398.450439453125,8,8,16,0.7202460169792175,0.875,1.0,0.9828664347485239,1.0,0.6194174304939147,False,False,True
normalization7,normalization,56,56,128,128,1,1,,,conv6,conv7,0,401408.0,,3005.73,133079,,1,1,1,128,1,1,0.0,,1,1,False,,False,,491.6925964355469,491.6925964355469,densenet121/normalization7,1,0,1,0.8121524999999999,0,128,0.4241690933704376,0.37703919410705566,0.1728606738793346,4,7168,densenet121_context_0,False,0.00098022,0,802816.0,0,8,-769.4215698242188,398.450439453125,0.10149910300970078,0.35470250248908997,0.0,71.68244171142578,8,8,16,0.4241690933704376,1.0,1.0,0.40752774443273965,1.0,0.1728606738793346,False,True,False
conv7,conv,56,56,32,128,3,3,1,1,normalization7,concat3,36896.0,115705856.0,,1224.92,326552,225792.0,8,1,2,4,1,2,0.0,1,1,1,True,,False,,491.6925964355469,122.92314910888672,densenet121/conv7,4,0,1,0.816235,0,4,0.7909674644470215,0.043901123106479645,0.7909674644470215,2,1792,densenet121_context_0,False,0.00099591,0,231211008.0,12288,8,0.0,71.68244171142578,-0.27507808804512024,0.22838445007801056,-61.69368362426758,62.17946243286133,8,8,16,0.7909674644470215,0.875,1.0,1.0,1.0,0.6920965313911438,False,False,False
